Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2018,143,1243,61,1246,58,N,0,19,54,9,22,14,22,11,18,12,10,11,2,30,16,42,3,12,23,37,11,27,6,15,5,3,21
2018,143,1260,69,1305,68,N,0,29,52,5,13,6,8,6,26,15,16,6,1,13,24,58,7,27,13,14,7,17,8,10,10,5,13
2018,143,1276,99,1401,72,N,0,39,63,14,24,7,8,4,24,21,7,12,0,15,32,67,3,15,5,10,12,21,13,14,4,4,12
2018,144,1181,69,1393,65,N,0,22,56,5,26,20,28,16,17,13,7,8,2,16,25,51,4,13,11,17,14,23,12,16,3,1,19
2018,144,1242,80,1155,76,N,0,28,60,10,22,14,22,12,26,14,13,4,5,22,28,65,6,20,14,19,14,25,11,12,6,4,18
2018,144,1403,78,1345,65,N,0,28,59,5,17,17,18,11,23,15,11,5,5,12,26,58,7,18,6,6,9,21,8,17,5,2,19
2018,144,1437,90,1452,78,N,0,27,54,13,24,23,27,7,29,16,16,5,5,20,27,70,7,28,17,23,16,23,12,12,10,5,28
2018,145,1260,78,1243,62,N,0,27,47,9,18,15,18,4,32,17,15,2,2,15,23,66,6,26,10,12,11,17,9,6,7,2,19
2018,145,1276,58,1199,54,N,0,19,49,4,22,16,24,9,25,8,11,6,4,16,16,51,4,17,18,20,10,26,6,15,6,7,23
2018,146,1242,85,1181,81,N,1,30,69,13,36,12,15,17,30,20,18,5,3,14,30,70,7,29,14,18,10,22,13,11,9,3,16
2018,146,1437,71,1403,59,N,0,19,57,4,24,29,35,20,31,7,12,6,4,17,20,60,5,20,14,18,11,22,7,9,4,1,23
2018,152,1276,69,1260,57,N,0,25,59,7,28,12,18,11,25,8,11,10,2,11,22,51,1,10,12,14,6,26,6,17,5,1,17
2018,152,1437,95,1242,79,N,0,36,65,18,40,5,7,7,26,20,10,3,5,14,28,62,7,21,16,20,10,23,8,9,5,1,12
2018,154,1437,79,1276,62,N,0,27,57,10,27,15,20,12,26,7,12,5,3,18,24,55,3,23,11,18,6,21,6,10,6,1,20
